Time (s),Acceleration Without HSI (m/s²),Acceleration With HSI (m/s²)
3.14,-0.054362123045434425,-0.05426451578497986
3.15,-0.05417844888219485,-0.05408559319744452
3.16,-0.05323495579262666,-0.05314775600274462
3.17,-0.05152246833564502,-0.05144166339949471
3.18,-0.04900985315787103,-0.04893630181442374
3.19,-0.045666620625263665,-0.0456015077741386
3.2,-0.0414916231926523,-0.04143648176417184
3.21,-0.03653072602186253,-0.03648729716259915
3.22,-0.030874695690031897,-0.030844738691386105
3.23,-0.02464299354442812,-0.024628136180675393
3.24,-0.017966988446435267,-0.017968615671694874
3.25,-0.010981399127526338,-0.011000517162011692
3.2600000000000002,-0.003821572834686144,-0.00385862257004033
3.27,0.0033818387259369775,0.003327147982677851
3.2800000000000002,0.010514348001146317,0.010443060704877228
3.29,0.01748850899131724,0.0174022370703681
3.3000000000000003,0.02424300568049726,0.02414360200890889
3.31,0.03072575506695675,0.030615008485702602
3.3200000000000003,0.036869664164389006,0.036749151393611366
3.33,0.0425766908005372,0.0424478005678559
3.34,0.04772044285249929,0.04758448189027456
3.35,0.05216440573482507,0.05202269170593166
3.36,0.055783480690152716,0.05563740881919337
3.37,0.058478280349946093,0.05832942131422525
3.38,0.060181285375966974,0.060031550901877694
3.39,0.06086122782938766,0.060713044451295384
3.4,0.060529889718184376,0.060386249768224425
3.41,0.05924687004471741,0.05911116621079107
3.42,0.05711260619361862,0.056988285482262466
3.43,0.05424481664691591,0.054135005509186276
3.44,0.05074539439857577,0.05065265161520257
3.45,0.046673285335863936,0.04659953457027058
3.46,0.04203626285958924,0.04198283998476411
3.47,0.036802865204530785,0.03677058626203691
3.48,0.030925002442248457,0.03091422493922236
3.49,0.024360240336887426,0.024370967535058748
3.5,0.017089794906701795,0.01712186794270426
3.5100000000000002,0.009135315540155476,0.009188647340430992
3.52,0.0005770094165070368,0.0006517272137663109
3.5300000000000002,-0.008431609464666171,-0.008335233093158393
3.54,-0.017662796259075922,-0.017544623639655234
3.5500000000000003,-0.026834726468031103,-0.026695112925897418
3.56,-0.03564885982562311,-0.03548891944170776
3.5700000000000003,-0.04383045225196125,-0.043652144501088744
3.58,-0.05115733640201022,-0.05096340856961838
3.59,-0.057470948629933696,-0.057264821376665394
3.6,-0.06267413156889283,-0.06245976703163582
3.61,-0.0667238756831363,-0.06650558960259724
3.62,-0.0696225496068656,-0.06940471917075004
3.63,-0.07140493452215287,-0.07119163679417778
3.64,-0.0721181277674434,-0.07191284349784148
3.65,-0.07179801341078942,-0.07160354301617557
3.66,-0.07045279466166307,-0.0702714272821462
3.67,-0.06806337818000252,-0.0678972090535382
3.68,-0.06460126567570525,-0.06445248790980249
3.69,-0.06005407748209202,-0.05992512958881609
3.7,-0.054445478548875485,-0.05433904687001896
3.71,-0.0478423241065605,-0.04776127004520473
3.72,-0.04035132968025586,-0.04029858371748555
3.73,-0.03211218753133504,-0.032090577399118025
3.74,-0.023290922206505207,-0.02330288059224597
3.75,-0.01407124158386641,-0.014118413001430834
3.7600000000000002,-0.004640030329209092,-0.00472290752819147
3.77,0.00483169538220964,0.004713936188470072
3.7800000000000002,0.01420412945587456,0.014053509988050692
3.79,0.023370861149881822,0.023190264819581502
3.8000000000000003,0.03224542676405601,0.03203820908676293
3.81,0.04073972011420595,0.04050940721646586
3.8200000000000003,0.048746537470690375,0.04849664883219607
3.83,0.05613448094273328,0.05586843029430609
3.84,0.06275463437431321,0.062475672297833275
3.85,0.06845258944233835,0.06816382072516065
3.86,0.07308062889050451,0.0727851710026031
3.87,0.07651011962258282,0.07621140584980904
3.88,0.07864674409779474,0.07834885691951538
3.89,0.07944769142551286,0.07915554579775821
3.9,0.07893371098225338,0.07865296454284104
3.91,0.07718686942517405,0.07692358206303163
3.92,0.07433047533237838,0.07409066177042387
3.93,0.07049741592986933,0.07028664448239398
3.94,0.06579951737541909,0.06562262043878324
3.95,0.06030874359588868,0.06016961706164825
3.96,0.054053327903532,0.05395478921030618
3.97,0.04702511832752079,0.04696885504026089
3.98,0.03919342072492934,0.03918010470599702
3.99,0.030524100575089735,0.030553693911780217
4.0,0.02100496229373622,0.021077121132396834
4.01,0.010675504257503824,0.010789896701257918
4.0200000000000005,-0.0003469596455211711,-0.0001905782746233956
4.03,-0.011855951002934894,-0.011657928982447805
4.04,-0.023566233887864524,-0.02332736597536929
4.05,-0.03514347729379609,-0.03486534453867918
4.0600000000000005,-0.046242589476255196,-0.04592780604020258
4.07,-0.056542982240270524,-0.05619534830594539
4.08,-0.06577432599469377,-0.06539890877196894
4.09,-0.07373254433760427,-0.07333565704810505
4.1,-0.08028769941024272,-0.07987669835935002
4.11,-0.08538303707689975,-0.08496589173756602
4.12,-0.08902245913879396,-0.08860716870443615
4.13,-0.09124629196801413,-0.09084033303477233
4.14,-0.09210161969273954,-0.09171161473526816
4.15,-0.09161826513334732,-0.09124994688047663
4.16,-0.08979985876693702,-0.08945825817644193
4.17,-0.08663174562188095,-0.08632145926317081
4.18,-0.08209929816583829,-0.08182472788887742
4.19,-0.07620729972079235,-0.07597283879675727
4.2,-0.06899439236948567,-0.06880456509017249
4.21,-0.06054186666857886,-0.06040138542331168
4.22,-0.050978212561916154,-0.0508918612307967
4.23,-0.04047881817879798,-0.040451090716172984
4.24,-0.029257677597023593,-0.029292214321809656
4.25,-0.017549289067969574,-0.01764828291697429
4.26,-0.0055844086931309345,-0.005748193322512176
4.2700000000000005,0.006431398003255617,0.006204453861398173
4.28,0.018327415970870863,0.018040730838132173
4.29,0.0299626820136838,0.029621120695358775
4.3,0.04121092408217297,0.040820406072679935
4.3100000000000005,0.051944182472464843,0.051511285070531966
4.32,0.06202165795800255,0.06155322262585737
4.33,0.07128535301476958,0.07078813990409245
4.34,0.0795610791805313,0.07904157615546799
4.3500000000000005,0.08666432777829558,0.08612881769683084
4.36,0.0924127527923239,0.09186763989832396
4.37,0.09664646222472628,0.09609871610187815
4.38,0.09925278964680659,0.09871029178438957
4.39,0.10018706080205406,0.0996586927971039
4.4,0.09947995467632031,0.09897540368374479
4.41,0.09722714752950161,0.09675651783788168
4.42,0.09356482920539057,0.09313816799361686
4.43,0.08863997170749728,0.08826676533519205
4.44,0.08258396426343875,0.08227262295113734
4.45,0.07549419736880288,0.07525157573655226
4.46,0.0674247238473588,0.06725579071769715
4.47,0.05838678547808916,0.05829457179536976
4.48,0.04836123471707014,0.048347101272184695
4.49,0.03732403771216176,0.03738815657637402
4.5,0.025281445665733183,0.025423286457956436
4.51,0.012305559880297755,0.012524190423777186
4.5200000000000005,-0.0014414311880779182,-0.0011473015446507697
4.53,-0.015702515679473873,-0.015334699334566795
4.54,-0.030141257274771068,-0.029702364204066183
4.55,-0.044371358545918456,-0.043865124450908906
4.5600000000000005,-0.05799234863884911,-0.05742399226839874
4.57,-0.070625288480456,-0.07000185186324155
4.58,-0.08194479380378304,-0.08127535109592912
4.59,-0.0917038368744667,-0.09099942567448427
4.6000000000000005,-0.09974647122181966,-0.09901966932062967
4.61,-0.10600407064976688,-0.10526828901620179
4.62,-0.11047497181046181,-0.10974366285111206
4.63,-0.11319390252366393,-0.11247990124895377
4.64,-0.11420192874583258,-0.11351705015286041
4.65,-0.11352661997158531,-0.11288151119542118
4.66,-0.1111764879378824,-0.11058066857222702
4.67,-0.10714759033089283,-0.10660962663928582
4.68,-0.10143731267264783,-0.10096510092302259
4.69,-0.09406115115097145,-0.09366226412003338
4.7,-0.08507006032077113,-0.08475203912686
4.71,-0.07456584820140678,-0.07433627191164302
4.72,-0.06271033159302468,-0.0625765439294257
4.73,-0.04972331335919013,-0.04969182704156758
4.74,-0.035867345025259095,-0.03594309293748187
4.75,-0.021422932155579076,-0.02160859123458344
4.76,-0.0066626096024054665,-0.006958161376089534
4.7700000000000005,0.008167357138062891,0.007764781789639305
4.78,0.02285320176721056,0.022349225323363142
4.79,0.03720907808937998,0.03661176547709363
4.8,0.05106623305281367,0.05038558622193411
4.8100000000000005,0.06426025931198326,0.06350755817929592
4.82,0.07661902138013503,0.07580612898275364
4.83,0.08795334020068656,0.08709215928363036
4.84,0.09805373105344417,0.09715598009938879
4.8500000000000005,0.10669722010607252,0.10577457151028585
4.86,0.11366602592562068,0.1127304891735139
4.87,0.11877475988353542,0.11783910149070577
4.88,0.12189785631422098,0.12097587371359814
4.89,0.1229877779808525,0.12209434290057826
4.9,0.12207812552183642,0.12122899613219358
4.91,0.11927164095473772,0.11848306277010462
